src,dst,rel,source_resource,evidence_class
EnzymeEC:1.1.1.24,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.24,Compound:shikimate,has_kinetic_substrate,SKiD,real_evidence
Protein:O67049,EnzymeEC:1.1.1.25,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.25,Compound:shikimate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.25,Compound:NADP+,has_kinetic_substrate,SKiD,real_evidence
Protein:P07547,EnzymeEC:1.1.1.25,annotated_as_ec,SKiD,real_evidence
Protein:P15770,EnzymeEC:1.1.1.25,annotated_as_ec,SKiD,real_evidence
Protein:Q5HNV1,EnzymeEC:1.1.1.25,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.25,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
Protein:Q9SQT8,EnzymeEC:1.1.1.25,annotated_as_ec,SKiD,real_evidence
Protein:P9WNS1,EnzymeEC:1.1.1.267,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.267,Compound:1-deoxy-D-xylulose_5-phosphate,has_kinetic_substrate,SKiD,real_evidence
Protein:Q8ZH62,EnzymeEC:1.1.1.267,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.267,Compound:NADPH,has_kinetic_substrate,SKiD,real_evidence
Protein:Q9WZZ1,EnzymeEC:1.1.1.267,annotated_as_ec,SKiD,real_evidence
Protein:Q56840,EnzymeEC:1.1.1.268,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.268,Compound:2-(2-hydroxyethylthio)ethanesulfonate,has_kinetic_substrate,SKiD,real_evidence
Protein:P00344,EnzymeEC:1.1.1.27,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.27,Compound:pyruvate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.27,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
Protein:Q27743,EnzymeEC:1.1.1.27,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.27,Compound:(S)-lactate,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.27,Compound:3-acetylpyridine_adenine_dinucleotide,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.27,Compound:NADH,has_kinetic_substrate,SKiD,real_evidence
Protein:Q5SJA1,EnzymeEC:1.1.1.27,annotated_as_ec,SKiD,real_evidence
Protein:A0A0M3KL04,EnzymeEC:1.1.1.28,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:pyruvate,has_kinetic_substrate,SKiD,real_evidence
Protein:P30901,EnzymeEC:1.1.1.28,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:NAD+,has_kinetic_substrate,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:nicotinamide_cytosine_dinucleotide,has_kinetic_substrate,SKiD,real_evidence
Protein:Q8RG11,EnzymeEC:1.1.1.28,annotated_as_ec,SKiD,real_evidence
EnzymeEC:1.1.1.28,Compound:phenylpyruvate,has_kinetic_substrate,SKiD,real_evidence
